Days,Time,finalDate,finalTime
TR,0800 - 0915,"May 07, 2026",0800 - 1050
T,0800 - 1045,"May 07, 2026",0800 - 1050
TWRF,0825 - 0915,"May 07, 2026",0800 - 1050
TRF,0825 - 0915,"May 07, 2026",0800 - 1050
TR,0825 - 0915,"May 07, 2026",0800 - 1050
TR,0825 - 1020,"May 07, 2026",0800 - 1050
T,0825 - 1020,"May 07, 2026",0800 - 1050
TR,1100 - 1215,"May 07, 2026",0800 - 1050
R,0800 - 1045,"May 04, 2026",0800 - 1050
TWRF,0930 - 1020,"May 04, 2026",0800 - 1050
TRF,0930 - 1020,"May 04, 2026",0800 - 1050
TR,0930 - 1020,"May 04, 2026",0800 - 1050
TR,0930 - 1045,"May 04, 2026",0800 - 1050
MW,0800 - 0915,"May 01, 2026",0800 - 1050
WF,0800 - 0915,"May 01, 2026",0800 - 1050
M,0800 - 1045,"May 01, 2026",0800 - 1050
MTWR,0825 - 0915,"May 01, 2026",0800 - 1050
MWF,0825 - 0915,"May 01, 2026",0800 - 1050
MW,0825 - 0915,"May 01, 2026",0800 - 1050
WF,0825 - 0915,"May 01, 2026",0800 - 1050
MW,0825 - 1020,"May 01, 2026",0800 - 1050
M,0825 - 1020,"May 01, 2026",0800 - 1050
R,0825 - 1020,"May 01, 2026",0800 - 1050
W,0800 - 1045,"May 06, 2026",0800 - 1050
WF,0825 - 1020,"May 06, 2026",0800 - 1050
W,0825 - 1020,"May 06, 2026",0800 - 1050
MTWR,0930 - 1020,"May 06, 2026",0800 - 1050
MWF,0930 - 1020,"May 06, 2026",0800 - 1050
MW,0930 - 1020,"May 06, 2026",0800 - 1050
WF,0930 - 1020,"May 06, 2026",0800 - 1050
MW,0930 - 1045,"May 06, 2026",0800 - 1050
WF,0930 - 1045,"May 06, 2026",0800 - 1050
TWRF,1230 - 1320,"May 07, 2026",1120 - 1410
TRF,1230 - 1320,"May 07, 2026",1120 - 1410
TR,1230 - 1320,"May 07, 2026",1120 - 1410
